Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Bike_stands,Available_bike_stands,Available_bikes,Last_update
42,SMITHFIELD NORTH,Smithfield North,53.349562,-6.278198,True,False,OPEN,30,24,6,1523800630000
30,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305,True,False,OPEN,20,19,1,1523800101000
54,CLONMEL STREET,Clonmel Street,53.336021,-6.26298,False,False,OPEN,33,16,17,1523800464000
56,MOUNT STREET LOWER,Mount Street Lower,53.33796,-6.24153,False,False,OPEN,40,20,20,1523800515000
6,CHRISTCHURCH PLACE,Christchurch Place,53.343368,-6.27012,False,False,OPEN,20,3,17,1523800464000
18,GRANTHAM STREET,Grantham Street,53.334123,-6.265436,True,False,OPEN,30,0,30,1523800596000
32,PEARSE STREET,Pearse Street,53.344304,-6.250427,True,False,OPEN,30,4,26,1523800235000
52,YORK STREET EAST,York Street East,53.338755,-6.262003,False,False,OPEN,32,1,31,1523800403000
48,EXCISE WALK,Excise Walk,53.347777,-6.244239,False,False,OPEN,40,32,8,1523800084000
13,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336074,-6.252825,False,False,OPEN,30,26,4,1523800346000
43,PORTOBELLO ROAD,Portobello Road,53.330091,-6.268044,True,False,OPEN,30,19,11,1523800499000
81,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339983,-6.295594,False,False,OPEN,40,14,26,1523800308000
31,PARNELL STREET,Parnell Street,53.350929,-6.265125,False,False,OPEN,20,15,5,1523800564000
98,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,True,False,OPEN,30,6,24,1523800446000
14,FOWNES STREET UPPER,Fownes Street Upper,53.344603,-6.263371,False,False,OPEN,30,15,15,1523800307000
1,CLARENDON ROW,Clarendon Row,53.340927,-6.262501,False,False,OPEN,31,3,28,1523800242000
23,CUSTOM HOUSE,Custom House,53.348279,-6.254662,True,False,OPEN,30,0,30,1523800538000
68,HANOVER QUAY,Hanover Quay,53.344115,-6.237153,True,False,OPEN,40,19,21,1523800472000
74,OLIVER BOND STREET,Oliver Bond Street,53.343893,-6.280531,False,False,OPEN,30,10,20,1523800470000
87,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,True,False,OPEN,38,38,0,1523800363000
84,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,False,False,OPEN,30,23,7,1523800536000
90,BENSON STREET,Benson Street,53.344153,-6.233451,False,False,CLOSED,40,0,0,1523800394000
11,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,False,False,OPEN,30,28,2,1523800345000
17,GOLDEN LANE,Golden Lane,53.340803,-6.267732,False,False,OPEN,20,16,4,1523800441000
45,DEVERELL PLACE,Deverell Place,53.351464,-6.255265,False,False,OPEN,30,20,10,1523800244000
72,JOHN STREET WEST,John Street West,53.343105,-6.277167,False,False,OPEN,31,6,25,1523800314000
63,FENIAN STREET,Fenian Street,53.341428,-6.24672,False,False,OPEN,35,8,27,1523800245000
91,SOUTH DOCK ROAD,South Dock Road,53.341833,-6.231291,False,False,OPEN,30,8,22,1523800328000
99,CITY QUAY,City Quay,53.346637,-6.246154,False,False,OPEN,30,28,2,1523800280000
9,EXCHEQUER STREET,Exchequer Street,53.343034,-6.263578,False,False,OPEN,24,3,21,1523800648000
67,THE POINT,The Point,53.346867,-6.230852,False,False,OPEN,40,26,14,1523800201000
55,HATCH STREET,Hatch Street,53.33403,-6.260714,False,False,OPEN,36,28,8,1523800413000
62,LIME STREET,Lime Street,53.346026,-6.243576,False,False,OPEN,40,35,5,1523800454000
5,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177,False,False,OPEN,40,21,19,1523800435000
