Dt,Temp,Temp_Min,Temp_Max,Pressure,Sea_Level,Grnd_Level,Humidity,Temp_Kf,Weather_Id,Weather_Main,Weather_Description,Weather_Icon,Clouds_All,Wind_Speed,Wind_Deg,Rain_3h,Sys_Pod,Dt_txt
1520823600,6.08,6.08,6.82,996.11,1000.73,996.11,98,-0.75,500,Rain,light rain,10n,92,6.65,69.5009,1.175,n,2018-03-12 03:00:00
1520834400,5.98,5.98,6.54,997.21,1001.88,997.21,100,-0.56,500,Rain,light rain,10n,100,6.28,56.5001,1.51,n,2018-03-12 06:00:00
1520845200,6.06,6.06,6.44,999.73,1004.42,999.73,99,-0.37,500,Rain,light rain,10d,92,4.96,27.0009,2.145,d,2018-03-12 09:00:00
1520856000,6.49,6.49,6.68,1002.43,1007.11,1002.43,99,-0.19,500,Rain,light rain,10d,92,4.89,349.501,1.16,d,2018-03-12 12:00:00
1520866800,7.2,7.2,7.2,1004.06,1008.8,1004.06,96,0,500,Rain,light rain,10d,92,4.22,319.501,0.575,d,2018-03-12 15:00:00
1520877600,7.83,7.83,7.83,1006.14,1010.95,1006.14,92,0,500,Rain,light rain,10d,88,6.78,305.502,0.76,d,2018-03-12 18:00:00
1520888400,6.79,6.79,6.79,1009.1,1013.83,1009.1,98,0,500,Rain,light rain,10n,0,7.67,292.501,0.010000000000002,n,2018-03-12 21:00:00
1520899200,5.43,5.43,5.43,1010.94,1015.78,1010.94,100,0,800,Clear,clear sky,01n,0,7.06,283.005,0,n,2018-03-13 00:00:00
1520910000,4.8,4.8,4.8,1011.92,1016.75,1011.92,100,0,800,Clear,clear sky,01n,0,6.56,265.503,0,n,2018-03-13 03:00:00
1520920800,4.51,4.51,4.51,1012.76,1017.61,1012.76,100,0,800,Clear,clear sky,01n,0,5.67,242.501,0,n,2018-03-13 06:00:00
1520931600,5.64,5.64,5.64,1013.36,1018.26,1013.36,100,0,800,Clear,clear sky,01d,0,4.68,210.006,0,d,2018-03-13 09:00:00
1520942400,7.69,7.69,7.69,1013.37,1018.04,1013.37,92,0,800,Clear,clear sky,01d,0,5.85,179.502,0,d,2018-03-13 12:00:00
1520953200,7.46,7.46,7.46,1011.53,1016.31,1011.53,93,0,500,Rain,light rain,10d,92,9.57,178.503,0.575,d,2018-03-13 15:00:00
1520964000,7.54,7.54,7.54,1009.4,1014.15,1009.4,93,0,500,Rain,light rain,10d,80,9.88,174,0.39,d,2018-03-13 18:00:00
1520974800,8.33,8.33,8.33,1007.8,1012.51,1007.8,89,0,500,Rain,light rain,10n,92,9.48,186,0.975,n,2018-03-13 21:00:00
1520985600,8.06,8.06,8.06,1005.34,1010.13,1005.34,91,0,500,Rain,light rain,10n,88,12.67,175.006,0.275,n,2018-03-14 00:00:00
1520996400,7.95,7.95,7.95,1002.17,1006.92,1002.17,91,0,500,Rain,light rain,10n,48,13.92,169,0.25,n,2018-03-14 03:00:00
1521007200,7.9,7.9,7.9,997.67,1002.38,997.67,92,0,500,Rain,light rain,10n,92,15.91,159.003,0.515,n,2018-03-14 06:00:00
1521018000,8.2,8.2,8.2,994.18,998.84,994.18,90,0,500,Rain,light rain,10d,92,18.36,159.002,1.705,d,2018-03-14 09:00:00
1521028800,8.73,8.73,8.73,991.94,996.58,991.94,87,0,500,Rain,light rain,10d,92,17.77,163.504,1.91,d,2018-03-14 12:00:00
1521039600,8.73,8.73,8.73,988.71,993.3,988.71,87,0,501,Rain,moderate rain,10d,92,19.06,163.003,3.005,d,2018-03-14 15:00:00
1521050400,8.48,8.48,8.48,985.51,990.24,985.51,89,0,500,Rain,light rain,10d,92,17.37,148.001,2,d,2018-03-14 18:00:00
1521061200,8.65,8.65,8.65,985.39,990.09,985.39,88,0,500,Rain,light rain,10n,68,15.37,165.002,0.7,n,2018-03-14 21:00:00
1521072000,8.35,8.35,8.35,985.69,990.43,985.69,90,0,500,Rain,light rain,10n,64,12.41,171.502,0.195,n,2018-03-15 00:00:00
1521082800,8.13,8.13,8.13,986.18,990.86,986.18,91,0,500,Rain,light rain,10n,36,9.86,174.503,0.039999999999999,n,2018-03-15 03:00:00
1521093600,8.06,8.06,8.06,986.9,991.62,986.9,90,0,500,Rain,light rain,10n,36,8.01,180.008,0.010000000000005,n,2018-03-15 06:00:00
1521104400,8.34,8.34,8.34,989.11,993.85,989.11,92,0,500,Rain,light rain,10d,36,6.26,192.001,0.009999999999998,d,2018-03-15 09:00:00
1521115200,8.86,8.86,8.86,991.38,996.13,991.38,89,0,801,Clouds,few clouds,02d,12,6.21,193.504,0,d,2018-03-15 12:00:00
1521126000,8.86,8.86,8.86,993.17,997.84,993.17,89,0,801,Clouds,few clouds,02d,24,6.06,194.5,0,d,2018-03-15 15:00:00
1521136800,8.67,8.67,8.67,994.93,999.67,994.93,87,0,500,Rain,light rain,10d,0,6.77,199.006,0.009999999999998,d,2018-03-15 18:00:00
1521147600,7.65,7.65,7.65,997.11,1001.88,997.11,94,0,800,Clear,clear sky,01n,0,6.12,194.511,0,n,2018-03-15 21:00:00
1521158400,7.08,7.08,7.08,998.56,1003.35,998.56,98,0,800,Clear,clear sky,01n,0,5.22,183,0,n,2018-03-16 00:00:00
1521169200,6.9,6.9,6.9,999.06,1003.77,999.06,98,0,800,Clear,clear sky,01n,0,5.52,169.503,0,n,2018-03-16 03:00:00
1521180000,7,7,7,999.02,1003.85,999.02,97,0,801,Clouds,few clouds,02n,24,6.06,169.005,0,n,2018-03-16 06:00:00
1521190800,7.59,7.59,7.59,999.82,1004.49,999.82,95,0,500,Rain,light rain,10d,44,6.41,168.503,0.1,d,2018-03-16 09:00:00
1521201600,8.1,8.1,8.1,1000.33,1005.05,1000.33,91,0,500,Rain,light rain,10d,56,7.51,167.502,0.030000000000001,d,2018-03-16 12:00:00
1521212400,8.23,8.23,8.23,1000.4,1005.08,1000.4,91,0,500,Rain,light rain,10d,32,8.63,165.005,0.019999999999996,d,2018-03-16 15:00:00
1521223200,8.1,8.1,8.1,1000.9,1005.59,1000.9,91,0,500,Rain,light rain,10d,56,8.76,158,0.040000000000006,d,2018-03-16 18:00:00
1521234000,7.78,7.78,7.78,1001.71,1006.41,1001.71,94,0,500,Rain,light rain,10n,88,8.95,148.501,0.2,n,2018-03-16 21:00:00
