Clock,Dt,Humidity,Rain3H,Temp,WeatherMain,WindSpeed,day
3.0,1520823600,98.0,1.18,6.37,Rain,6.65,-38
6.0,1520834400,100.0,1.51,6.24,Rain,6.28,-38
9.0,1520845200,99.0,2.15,6.29,Rain,4.96,-38
12.0,1520856000,99.0,1.16,6.68,Rain,4.89,-38
15.0,1520866800,96.0,0.57,7.2,Rain,4.22,-38
18.0,1520877600,92.0,0.76,7.83,Rain,6.78,-38
21.0,1520888400,98.0,0.01,6.79,Rain,7.67,-38
0.0,1520899200,100.0,0.0,5.43,Clear,7.06,-37
3.0,1520910000,100.0,0.0,4.8,Clear,6.56,-37
6.0,1520920800,100.0,0.0,4.51,Clear,5.67,-37
9.0,1520931600,100.0,0.0,5.64,Clear,4.68,-37
12.0,1520942400,92.0,0.0,7.69,Clear,5.85,-37
15.0,1520953200,93.0,0.57,7.46,Rain,9.57,-37
18.0,1520964000,93.0,0.39,7.54,Rain,9.88,-37
21.0,1520974800,89.0,0.97,8.33,Rain,9.48,-37
0.0,1520985600,91.0,0.28,8.06,Rain,12.67,-36
3.0,1520996400,91.0,0.25,7.95,Rain,13.92,-36
6.0,1521007200,92.0,0.52,7.9,Rain,15.91,-36
9.0,1521018000,90.0,1.71,8.2,Rain,18.36,-36
12.0,1521028800,87.0,1.91,8.73,Rain,17.77,-36
15.0,1521039600,87.0,3.0,8.73,Rain,19.06,-36
18.0,1521050400,89.0,2.0,8.48,Rain,17.37,-36
21.0,1521061200,88.0,0.7,8.65,Rain,15.37,-36
0.0,1521072000,90.0,0.2,8.35,Rain,12.41,-35
3.0,1521082800,91.0,0.04,8.13,Rain,9.86,-35
6.0,1521093600,90.0,0.01,8.06,Rain,8.01,-35
9.0,1521104400,92.0,0.01,8.34,Rain,6.26,-35
12.0,1521115200,89.0,0.0,8.86,Clouds,6.21,-35
15.0,1521126000,89.0,0.0,8.86,Clouds,6.06,-35
18.0,1521136800,87.0,0.01,8.67,Rain,6.77,-35
21.0,1521147600,94.0,0.0,7.65,Clear,6.12,-35
0.0,1521158400,98.0,0.0,7.08,Clear,5.22,-34
3.0,1521169200,98.0,0.0,6.9,Clear,5.52,-34
6.0,1521180000,97.0,0.0,7.0,Clouds,6.06,-34
9.0,1521190800,95.0,0.1,7.59,Rain,6.41,-34
12.0,1521201600,91.0,0.03,8.1,Rain,7.51,-34
15.0,1521212400,91.0,0.02,8.23,Rain,8.63,-34
18.0,1521223200,91.0,0.04,8.1,Rain,8.76,-34
21.0,1521234000,94.0,0.2,7.78,Rain,8.95,-34
0.0,1521244800,95.0,0.01,7.56,Rain,8.17,-33
3.0,1521255600,97.0,0.02,7.29,Rain,7.81,-33
6.0,1521266400,97.0,0.19,7.3,Rain,8.06,-33
9.0,1521277200,97.0,0.04,7.39,Rain,8.8,-33
12.0,1521288000,96.0,0.29,7.51,Rain,8.8,-33
15.0,1521298800,94.0,0.16,8.04,Rain,7.26,-33
18.0,1521309600,92.0,0.05,8.22,Rain,7.13,-33
21.0,1521320400,93.0,0.26,8.0,Rain,7.97,-33
0.0,1521331200,100.0,0.02,3.7,Rain,13.36,-32
3.0,1521342000,100.0,0.0,3.68,Clouds,13.22,-32
6.0,1521352800,100.0,0.0,3.7,Clouds,13.71,-32
9.0,1521363600,100.0,0.04,4.08,Rain,14.03,-32
12.0,1521374400,100.0,0.09,4.57,Rain,13.96,-32
15.0,1521385200,100.0,0.01,4.94,Rain,13.37,-32
18.0,1521396000,100.0,0.0,4.8,Clouds,13.11,-32
21.0,1521406800,100.0,0.03,4.45,Rain,12.57,-32
0.0,1521417600,100.0,0.0,3.96,Clear,8.12,-31
3.0,1521428400,100.0,0.0,3.23,Clear,7.72,-31
6.0,1521439200,100.0,0.0,2.76,Clear,7.46,-31
9.0,1521450000,100.0,0.0,3.41,Clear,7.86,-31
12.0,1521460800,100.0,0.0,4.12,Clear,8.86,-31
15.0,1521471600,100.0,0.0,4.61,Clear,9.02,-31
18.0,1521482400,100.0,0.0,4.78,Clouds,7.91,-31
21.0,1521493200,100.0,0.0,4.57,Clouds,8.17,-31
0.0,1521504000,100.0,0.0,4.49,Clear,4.67,-30
3.0,1521514800,100.0,0.0,3.71,Clear,3.38,-30
6.0,1521525600,100.0,0.0,2.65,Clear,4.81,-30
9.0,1521536400,100.0,0.0,2.86,Clear,5.32,-30
12.0,1521547200,100.0,0.0,5.76,Clear,4.11,-30
15.0,1521558000,93.0,0.0,7.29,Clouds,1.62,-30
18.0,1521568800,90.0,0.0,7.4,Clear,2.55,-30
21.0,1521579600,99.0,0.0,6.03,Clear,4.32,-30
0.0,1521590400,100.0,0.0,4.5,Clouds,5.46,-29
3.0,1521601200,100.0,0.0,4.84,Clouds,7.51,-29
6.0,1521612000,100.0,0.03,5.32,Rain,9.69,-29
9.0,1521622800,96.0,0.07,6.34,Rain,9.96,-29
12.0,1521633600,83.0,0.0,8.73,Clouds,9.37,-29
15.0,1521644400,78.0,0.0,10.08,Clouds,9.16,-29
18.0,1521655200,80.0,0.08,9.64,Rain,9.12,-29
21.0,1521666000,82.0,0.33,9.22,Rain,9.76,-29
0.0,1521676800,89.0,2.42,8.03,Rain,10.98,-28
3.0,1521687600,84.0,0.83,9.02,Rain,8.76,-28
6.0,1521698400,87.0,0.08,8.31,Rain,6.31,-28
9.0,1521709200,91.0,0.11,7.92,Rain,3.46,-28
12.0,1521720000,90.0,0.06,8.17,Rain,2.99,-28
15.0,1521730800,87.0,0.01,8.64,Rain,4.92,-28
18.0,1521741600,88.0,0.13,8.27,Rain,7.96,-28
21.0,1521752400,92.0,0.01,7.26,Rain,10.06,-28
0.0,1521763200,95.0,0.03,7.21,Rain,5.83,-27
3.0,1521774000,97.0,1.4,6.73,Rain,7.28,-27
6.0,1521784800,92.0,5.25,7.54,Rain,5.46,-27
9.0,1521795600,88.0,0.03,8.59,Rain,7.81,-27
12.0,1521806400,87.0,0.01,8.76,Rain,7.86,-27
15.0,1521817200,93.0,0.29,7.72,Rain,6.21,-27
18.0,1521828000,90.0,1.84,8.0,Rain,8.14,-27
21.0,1521838800,94.0,0.01,7.29,Rain,7.36,-27
0.0,1521849600,100.0,0.0,6.18,Clouds,10.17,-26
3.0,1521860400,100.0,0.0,5.2,Clouds,8.82,-26
6.0,1521871200,100.0,0.0,4.3,Clear,7.7,-26
9.0,1521882000,100.0,0.0,5.4,Clouds,7.81,-26
12.0,1521892800,92.0,0.0,7.62,Clear,6.61,-26
15.0,1521903600,89.0,0.07,8.37,Rain,6.36,-26
18.0,1521914400,92.0,1.53,7.61,Rain,4.95,-26
21.0,1521925200,98.0,0.0,6.42,Clouds,5.02,-26
0.0,1521936000,100.0,0.01,5.69,Rain,4.13,-25
3.0,1521946800,100.0,0.02,5.52,Rain,4.31,-25
6.0,1521957600,100.0,0.0,5.69,Clouds,4.12,-25
9.0,1521968400,96.0,0.06,6.82,Rain,4.67,-25
12.0,1521979200,91.0,0.0,7.78,Clouds,5.85,-25
15.0,1521990000,89.0,0.0,8.14,Clouds,5.89,-25
18.0,1522000800,90.0,0.01,8.09,Rain,5.46,-25
21.0,1522011600,95.0,0.02,7.31,Rain,5.81,-25
0.0,1522022400,98.0,0.08,6.67,Rain,3.62,-24
3.0,1522033200,100.0,0.06,6.13,Rain,3.73,-24
6.0,1522044000,100.0,0.09,6.04,Rain,3.57,-24
9.0,1522054800,96.0,0.0,7.16,Clear,4.21,-24
12.0,1522065600,90.0,0.0,8.41,Clouds,5.12,-24
15.0,1522076400,90.0,0.12,8.32,Rain,7.46,-24
18.0,1522087200,93.0,0.23,7.94,Rain,7.87,-24
21.0,1522098000,92.0,0.17,7.95,Rain,7.27,-24
0.0,1522108800,96.0,4.95,7.35,Rain,9.76,-23
3.0,1522119600,87.0,0.66,8.9,Rain,5.82,-23
6.0,1522130400,86.0,0.21,9.19,Rain,6.8,-23
9.0,1522141200,88.0,0.09,8.84,Rain,8.26,-23
12.0,1522152000,91.0,0.11,8.47,Rain,9.81,-23
15.0,1522162800,90.0,0.02,8.23,Rain,11.11,-23
18.0,1522173600,94.0,0.0,7.54,Clouds,12.37,-23
21.0,1522184400,98.0,0.01,6.8,Rain,13.56,-23
0.0,1522195200,100.0,0.0,6.33,Clouds,11.86,-22
3.0,1522206000,100.0,0.03,6.34,Rain,12.08,-22
6.0,1522216800,100.0,0.01,6.14,Rain,11.78,-22
9.0,1522227600,98.0,0.06,6.63,Rain,9.06,-22
12.0,1522238400,97.0,0.0,7.06,Clouds,5.2,-22
15.0,1522249200,100.0,0.01,6.39,Rain,3.67,-22
18.0,1522260000,100.0,0.34,5.73,Rain,3.95,-22
21.0,1522270800,100.0,3.97,4.67,Rain,3.82,-22
0.0,1522281600,100.0,0.0,5.38,Clear,4.22,-21
3.0,1522292400,100.0,0.0,5.25,Clear,3.56,-21
6.0,1522303200,100.0,0.0,5.62,Clouds,5.47,-21
9.0,1522314000,97.0,0.01,7.1,Rain,8.87,-21
12.0,1522324800,97.0,0.1,7.05,Rain,11.12,-21
15.0,1522335600,99.0,2.61,6.75,Rain,11.1,-21
18.0,1522346400,96.0,0.34,7.29,Rain,11.11,-21
21.0,1522357200,96.0,0.01,7.18,Rain,12.11,-21
0.0,1522368000,100.0,0.4,6.39,Rain,8.26,-20
3.0,1522378800,100.0,0.16,6.14,Rain,8.02,-20
6.0,1522389600,100.0,0.08,6.17,Rain,6.86,-20
9.0,1522400400,100.0,0.0,5.92,Clouds,7.01,-20
12.0,1522411200,100.0,0.0,5.97,Clouds,7.66,-20
15.0,1522422000,100.0,0.0,6.52,Clouds,8.21,-20
18.0,1522432800,100.0,0.08,6.48,Rain,9.22,-20
21.0,1522443600,100.0,0.24,6.07,Rain,9.68,-20
0.0,1522454400,97.0,0.0,6.95,Clear,7.81,-19
3.0,1522465200,100.0,0.0,6.27,Clouds,7.96,-19
6.0,1522476000,100.0,0.0,5.88,Clouds,7.92,-19
9.0,1522486800,100.0,0.02,6.09,Rain,7.5,-19
12.0,1522497600,100.0,0.01,6.47,Rain,7.21,-19
15.0,1522508400,97.0,0.0,6.85,Clouds,7.11,-19
18.0,1522519200,97.0,0.0,6.95,Clouds,6.96,-19
21.0,1522530000,97.0,0.0,7.0,Clouds,6.96,-19
0.0,1522540800,99.0,0.19,6.83,Rain,6.96,-18
3.0,1522551600,100.0,0.12,6.47,Rain,7.96,-18
6.0,1522562400,100.0,1.09,6.02,Rain,8.51,-18
9.0,1522573200,100.0,0.32,5.9,Rain,7.16,-18
12.0,1522584000,100.0,0.03,5.85,Rain,6.19,-18
15.0,1522594800,100.0,0.0,5.86,Clouds,5.71,-18
18.0,1522605600,100.0,0.0,5.81,Clouds,4.97,-18
21.0,1522616400,100.0,0.0,5.56,Clouds,4.56,-18
0.0,1522627200,98.0,0.74,6.74,Rain,12.18,-17
3.0,1522638000,100.0,3.68,5.77,Rain,14.75,-17
6.0,1522648800,100.0,6.73,5.67,Rain,15.68,-17
9.0,1522659600,93.0,4.82,7.63,Rain,13.91,-17
12.0,1522670400,89.0,1.25,8.43,Rain,12.37,-17
15.0,1522681200,90.0,1.11,8.59,Rain,10.61,-17
18.0,1522692000,90.0,0.79,8.5,Rain,9.15,-17
21.0,1522702800,92.0,1.22,8.28,Rain,8.71,-17
0.0,1522713600,100.0,0.48,4.24,Rain,13.46,-16
3.0,1522724400,100.0,0.14,4.14,Rain,13.56,-16
6.0,1522735200,100.0,0.03,4.28,Rain,12.76,-16
9.0,1522746000,100.0,0.0,4.53,Clouds,11.96,-16
12.0,1522756800,100.0,0.0,4.97,Clouds,10.12,-16
15.0,1522767600,100.0,0.0,5.45,Clear,7.82,-16
18.0,1522778400,100.0,0.0,5.5,Clear,4.86,-16
21.0,1522789200,100.0,0.37,5.95,Rain,10.3,-16
0.0,1522800000,100.0,0.35,5.54,Rain,10.26,-15
3.0,1522810800,100.0,0.49,4.95,Rain,10.61,-15
6.0,1522821600,100.0,0.81,4.46,Rain,11.21,-15
9.0,1522832400,100.0,2.25,4.19,Rain,11.96,-15
12.0,1522843200,100.0,3.25,4.13,Rain,12.46,-15
15.0,1522854000,100.0,3.36,4.13,Rain,11.96,-15
18.0,1522864800,87.0,0.02,9.44,Rain,4.28,-15
21.0,1522875600,90.0,1.34,8.47,Rain,5.62,-15
0.0,1522886400,100.0,1.23,6.36,Rain,10.73,-14
3.0,1522897200,100.0,0.0,6.13,Clear,9.92,-14
6.0,1522908000,100.0,0.0,5.09,Clear,7.36,-14
9.0,1522918800,100.0,0.0,5.9,Clear,4.82,-14
12.0,1522929600,96.0,0.0,7.38,Clouds,5.17,-14
15.0,1522940400,99.0,0.39,6.91,Rain,9.26,-14
18.0,1522951200,89.0,1.67,8.64,Rain,10.02,-14
21.0,1522962000,85.0,0.97,9.44,Rain,10.22,-14
0.0,1522972800,95.0,0.09,7.29,Rain,11.56,-13
